"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"27867","1294949","FUNNEL CAKE #5"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-05-21 00:00:00","98","A","FUNNELCAKE",""
"27867","1320961","FUNNEL CAKE #5"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-09-03 00:00:00","93","C","FUNNELCAKE",""
"27867","1328549","FUNNEL CAKE #5"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-08-20 00:00:00","100","A","FUNNELCAKE",""
"28520","1294924","SANDWICH TRAILER #4"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-05-31 00:00:00","98","A","SANDWICHTRAILER",""
"28520","1328551","SANDWICH TRAILER #4"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-08-20 00:00:00","99","","SANDWICHTRAILER",""
"28521","1294867","CORN DOG/SAUSAGE #3"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-05-31 00:00:00","100","A","CORNDOGSAUSAGE",""
"28521","1294947","CORN DOG/SAUSAGE #3"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-05-21 00:00:00","86","C","CORNDOGSAUSAGE",""
"28522","1328552","CORN DOG/SAUSAGE #2"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-08-17 00:00:00","98","A","CORNDOGSAUSAGE",""
"28523","1328550","CORN DOG #1"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2017-08-20 00:00:00","100","","CORNDOG",""
"29790","1287488","ANGIO'S"," ","3731 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1975000","-85.6565000","2017-05-15 00:00:00","96","A","ANGIOS",""
"29790","1329922","ANGIO'S"," ","3731 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1975000","-85.6565000","2017-10-18 00:00:00","94","A","ANGIOS",""
"29862","1351216","HAUCK'S HANDY STORE"," ","1000 GOSS AVE","","LOUISVILLE","KY","40217","PRE-PACKAGED RETAIL","38.2277000","-85.7364000","2018-01-17 00:00:00","98","","HAUCKSHANDYSTORE",""
"29918","1343522","IGA PIC PAC"," ","9304 BLUE LICK RD","","LOUISVILLE","KY","40229","PRE-PACKAGED RETAIL","38.1142000","-85.6908000","2017-12-11 00:00:00","75","","IGAPICPAC",""
"29918","1345382","IGA PIC PAC"," ","9304 BLUE LICK RD","","LOUISVILLE","KY","40229","PRE-PACKAGED RETAIL","38.1142000","-85.6908000","2017-12-18 00:00:00","99","","IGAPICPAC",""
"29928","1281649","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2017-04-26 00:00:00","96","A","BROADWAYFOODMART",""
"29928","1281650","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2017-04-26 00:00:00","96","","BROADWAYFOODMART",""
"29928","1343619","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2017-12-11 00:00:00","93","A","BROADWAYFOODMART",""
"29928","1343620","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2017-12-11 00:00:00","94","","BROADWAYFOODMART",""
"29956","1336027","CVS #6211"," ","3721 LEXINGTON RD","","LOUISVILLE","KY","40207","PRE-PACKAGED RETAIL","38.2525000","-85.6600000","2017-11-09 00:00:00","100","","CVS",""
"29967","1351215","NEIGHBORHOOD FOOD MART"," ","542 LAMPTON ST","","LOUISVILLE","KY","40203","SUPERMARKET WITH PROCESSING","38.2416000","-85.7443000","2018-01-17 00:00:00","86","","NEIGHBORHOODFOODMART",""
"29979","1291868","CIRCLE K #75"," ","1630 ARTHUR ST","","LOUISVILLE","KY","40217","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2227000","-85.7519000","2017-06-01 00:00:00","92","A","CIRCLEK",""
"29979","1291869","CIRCLE K #75"," ","1630 ARTHUR ST","","LOUISVILLE","KY","40217","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2227000","-85.7519000","2017-06-01 00:00:00","87","","CIRCLEK",""
"29979","1335871","CIRCLE K #75"," ","1630 ARTHUR ST","","LOUISVILLE","KY","40217","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2227000","-85.7519000","2017-11-08 00:00:00","96","A","CIRCLEK",""
"29979","1335872","CIRCLE K #75"," ","1630 ARTHUR ST","","LOUISVILLE","KY","40217","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2227000","-85.7519000","2017-11-08 00:00:00","92","","CIRCLEK",""
"30043","1279916","F&Y SUPERMARKET"," ","3801 W MARKET ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2621000","-85.8123000","2017-04-19 00:00:00","93","A","FYSUPERMARKET",""
"30043","1279917","F&Y SUPERMARKET"," ","3801 W MARKET ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2621000","-85.8123000","2017-04-19 00:00:00","93","","FYSUPERMARKET",""
"30043","1330428","F&Y SUPERMARKET"," ","3801 W MARKET ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2621000","-85.8123000","2017-10-18 00:00:00","98","A","FYSUPERMARKET",""
"30043","1330429","F&Y SUPERMARKET"," ","3801 W MARKET ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2621000","-85.8123000","2017-10-18 00:00:00","94","","FYSUPERMARKET",""
"30051","1345462","RITE AID #4629"," ","409 W OAK ST","","LOUISVILLE","KY","40203","PRE-PACKAGED RETAIL","38.2352000","-85.7609000","2017-12-18 00:00:00","97","","RITEAID",""
"30075","1324885","CVS #6199"," ","3130 PORTLAND AVE","","LOUISVILLE","KY","40212","PRE-PACKAGED RETAIL","38.2738780","-85.7994620","2017-09-28 00:00:00","99","","CVS",""
"30085","1299760","SPEEDWAY #9709"," ","4239 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1974000","-85.7077000","2017-06-27 00:00:00","98","A","SPEEDWAY",""
"30085","1299761","SPEEDWAY #9709"," ","4239 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1974000","-85.7077000","2017-06-27 00:00:00","96","A","SPEEDWAY",""
"30085","1347080","SPEEDWAY #9709"," ","4239 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1974000","-85.7077000","2017-12-21 00:00:00","98","A","SPEEDWAY",""
"30085","1347081","SPEEDWAY #9709"," ","4239 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1974000","-85.7077000","2017-12-21 00:00:00","98","","SPEEDWAY",""
"30090","1274043","JIM DANDY FOOD MART"," ","4902 POPLAR LEVEL RD","","LOUISVILLE","KY","40219","PRE-PACKAGED RETAIL","38.1709000","-85.6850000","2017-03-23 00:00:00","97","A","JIMDANDYFOODMART",""
"30108","1281898","SPEEDWAY #9515"," ","2720 TAYLORSVILLE RD","","LOUISVILLE","KY","40205","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2226000","-85.6691000","2017-04-26 00:00:00","100","A","SPEEDWAY",""
"30108","1281899","SPEEDWAY #9515"," ","2720 TAYLORSVILLE RD","","LOUISVILLE","KY","40205","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2226000","-85.6691000","2017-04-26 00:00:00","99","","SPEEDWAY",""
"30108","1335700","SPEEDWAY #9515"," ","2720 TAYLORSVILLE RD","","LOUISVILLE","KY","40205","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2226000","-85.6691000","2017-11-08 00:00:00","94","A","SPEEDWAY",""
"30108","1335701","SPEEDWAY #9515"," ","2720 TAYLORSVILLE RD","","LOUISVILLE","KY","40205","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2226000","-85.6691000","2017-11-08 00:00:00","94","","SPEEDWAY",""
"30154","1344190","CIRCLE K #117"," ","9619 WHIPPS MILL RD","","LOUISVILLE","KY","40222","SUPERMARKET WITH PROCESSING","38.2693000","-85.5784000","2017-12-12 00:00:00","100","","CIRCLEK",""
"30162","1274562","CORNER MARKET"," ","358 N 26TH ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2660000","-85.7933000","2017-03-27 00:00:00","96","A","CORNERMARKET",""
"30162","1274563","CORNER MARKET"," ","358 N 26TH ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2660000","-85.7933000","2017-03-27 00:00:00","92","","CORNERMARKET",""
"30162","1327941","CORNER MARKET"," ","358 N 26TH ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2660000","-85.7933000","2017-10-10 00:00:00","93","A","CORNERMARKET",""
"30162","1327942","CORNER MARKET"," ","358 N 26TH ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2660000","-85.7933000","2017-10-10 00:00:00","98","","CORNERMARKET",""
"30165","1349539","DERBY CITY PRODUCE"," ","301 S 18TH ST","","LOUISVILLE","KY","40203","PRE-PACKAGED RETAIL","38.2561000","-85.7801000","2018-01-05 00:00:00","96","","DERBYCITYPRODUCE",""
"30227","1332623","DAIRY MART #3296"," ","309 E ST. CATHERINE ST","","LOUISVILLE","KY","40203","PRE-PACKAGED RETAIL","38.2367000","-85.7507000","2017-10-26 00:00:00","97","","DAIRYMART",""
"30242","1268727","CURTIS MARKET"," ","2720 DUNCAN ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2636000","-85.7967000","2017-02-28 00:00:00","98","A","CURTISMARKET",""
"30242","1268728","CURTIS MARKET"," ","2720 DUNCAN ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2636000","-85.7967000","2017-02-28 00:00:00","98","","CURTISMARKET",""
"30242","1310087","CURTIS MARKET"," ","2720 DUNCAN ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2636000","-85.7967000","2017-08-02 00:00:00","99","A","CURTISMARKET",""
"30242","1310088","CURTIS MARKET"," ","2720 DUNCAN ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2636000","-85.7967000","2017-08-02 00:00:00","100","A","CURTISMARKET",""
"30242","1349541","CURTIS MARKET"," ","2720 DUNCAN ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2636000","-85.7967000","2018-01-05 00:00:00","98","A","CURTISMARKET",""
"30242","1349542","CURTIS MARKET"," ","2720 DUNCAN ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2636000","-85.7967000","2018-01-05 00:00:00","98","","CURTISMARKET",""
"30245","1345459","AL'S BAIT HOUSE"," ","14216 DIXIE HWY","","LOUISVILLE","KY","40272","PRE-PACKAGED RETAIL","38.0504000","-85.8962000","2017-12-18 00:00:00","97","","ALSBAITHOUSE",""
"30248","1318235","PHOENIX SCHOOL OF DISCOVERY"," ","3741 PULLIAM DR","","LOUISVILLE","KY","40218","SCHOOL CAFETERIA OR FOOD SERVICE","38.2025714","-85.6431747","2017-09-05 00:00:00","99","A","PHOENIXSCHOOLOFDISCOVERY",""
"30258","1341444","CIRCLE K #110"," ","3001 FERN VALLEY RD","","LOUISVILLE","KY","40213","SUPERMARKET WITH PROCESSING","38.1575000","-85.7090000","2017-12-04 00:00:00","86","","CIRCLEK",""
"30264","1296297","SPEEDWAY #5043"," ","4417 DIXIE HWY","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1815000","-85.8153000","2017-06-15 00:00:00","97","A","SPEEDWAY",""
"30264","1296298","SPEEDWAY #5043"," ","4417 DIXIE HWY","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1815000","-85.8153000","2017-06-15 00:00:00","97","A","SPEEDWAY",""
"30264","1345999","SPEEDWAY #5043"," ","4417 DIXIE HWY","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1815000","-85.8153000","2017-12-19 00:00:00","95","A","SPEEDWAY",""
"30264","1346000","SPEEDWAY #5043"," ","4417 DIXIE HWY","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1815000","-85.8153000","2017-12-19 00:00:00","97","A","SPEEDWAY",""
"30295","1287561","GRAND MARKET"," ","1731 DIXIE HGWY","","LOUISVILLE","KY","40211","SUPERMARKET WITH PROCESSING","38.2248000","-85.7910000","2017-05-16 00:00:00","94","","GRANDMARKET",""
"30337","1267916","PIC PAC"," ","3110 TAYLOR BLVD","","LOUISVILLE","KY","40215","SUPERMARKET WITH PROCESSING","38.2064000","-85.7767000","2017-02-21 00:00:00","84","","PICPAC",""
"30337","1268721","PIC PAC"," ","3110 TAYLOR BLVD","","LOUISVILLE","KY","40215","SUPERMARKET WITH PROCESSING","38.2064000","-85.7767000","2017-02-28 00:00:00","98","","PICPAC",""
"30374","1311957","SUGAR AND SPICE"," ","5613 BARDSTOWN RD","","LOUISVILLE","KY","40219","PRE-PACKAGED RETAIL","38.1646000","-85.5977000","2017-08-09 00:00:00","99","","SUGARANDSPICE",""
"30394","1269927","SAM'S CLUB #8276"," ","6622 PRESTON HWY","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1549000","-85.6998000","2017-03-06 00:00:00","100","A","SAMSCLUB",""
"30394","1269928","SAM'S CLUB #8276"," ","6622 PRESTON HWY","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1549000","-85.6998000","2017-03-06 00:00:00","91","","SAMSCLUB",""
"30394","1312306","SAM'S CLUB #8276"," ","6622 PRESTON HWY","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1549000","-85.6998000","2017-08-10 00:00:00","98","A","SAMSCLUB",""
"30394","1312307","SAM'S CLUB #8276"," ","6622 PRESTON HWY","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1549000","-85.6998000","2017-08-10 00:00:00","94","A","SAMSCLUB",""
"30399","1304277","BIG LOTS #175"," ","5318 BARDSTOWN RD","","LOUISVILLE","KY","40291","PRE-PACKAGED RETAIL","38.1664000","-85.6047000","2017-07-13 00:00:00","96","","BIGLOTS",""
"30411","1316366","WALGREENS #12322"," ","808 EASTERN PKWY","","LOUISVILLE","KY","40217","PRE-PACKAGED RETAIL","38.2147000","-85.7417000","2017-08-25 00:00:00","98","","WALGREENS",""
"30425","1265344","BIG LOTS #226"," ","4121 SHELBYVILLE RD","","LOUISVILLE","KY","40205","SUPERMARKET WITH PROCESSING","38.2532000","-85.6459000","2017-02-10 00:00:00","100","","BIGLOTS",""
"30425","1355890","BIG LOTS #226"," ","4121 SHELBYVILLE RD","","LOUISVILLE","KY","40205","SUPERMARKET WITH PROCESSING","38.2532000","-85.6459000","2018-02-05 00:00:00","100","","BIGLOTS",""
"30826","1281908","TIMOTHY'S ANGELS"," ","1351 CATALPA ST","","LOUISVILLE","KY","40211","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2347000","-85.8015000","2017-04-27 00:00:00","100","A","TIMOTHYSANGELS",""
"30826","1328929","TIMOTHY'S ANGELS"," ","1351 CATALPA ST","","LOUISVILLE","KY","40211","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2347000","-85.8015000","2017-10-12 00:00:00","100","A","TIMOTHYSANGELS",""
"30917","1292675","BRIGHT HORIZONS @ PLAINVIEW SCHOOL"," ","10320 TIMBERWOOD CIRCLE","","LOUISVILLE","KY","40223","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2346000","-85.5678000","2017-06-05 00:00:00","100","A","BRIGHTHORIZONSPLAINVIEWSCHOOL",""
"30917","1340904","BRIGHT HORIZONS @ PLAINVIEW SCHOOL"," ","10320 TIMBERWOOD CIRCLE","","LOUISVILLE","KY","40223","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2346000","-85.5678000","2017-12-01 00:00:00","100","A","BRIGHTHORIZONSPLAINVIEWSCHOOL",""
"30968","1288835","KIDDIE KAMPUS DAY CARE"," ","3685 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2077000","-85.7147000","2017-05-22 00:00:00","100","A","KIDDIEKAMPUSDAYCARE",""
"30968","1339370","KIDDIE KAMPUS DAY CARE"," ","3685 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2077000","-85.7147000","2017-11-20 00:00:00","98","A","KIDDIEKAMPUSDAYCARE",""
"30972","1270815","KINDER CARE"," ","730 ZORN AVE","","LOUISVILLE","KY","40206","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2688000","-85.6930000","2017-03-08 00:00:00","99","A","KINDERCARE",""
"30972","1344034","KINDER CARE"," ","730 ZORN AVE","","LOUISVILLE","KY","40206","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2688000","-85.6930000","2017-12-12 00:00:00","100","A","KINDERCARE",""
"30989","1306633","SOUTHSIDE CHRISTIAN"," ","5804 SOUTHSIDE DR","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1666000","-85.7651000","2017-07-20 00:00:00","97","A","SOUTHSIDECHRISTIAN",""
"30989","1355074","SOUTHSIDE CHRISTIAN"," ","5804 SOUTHSIDE DR","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1666000","-85.7651000","2018-02-01 00:00:00","98","A","SOUTHSIDECHRISTIAN",""
"30993","1292019","WEE CARE NURSERY"," ","11616 MAIN ST","","LOUISVILLE","KY","40243","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2447170","-85.5401210","2017-05-31 00:00:00","100","A","WEECARENURSERY",""
"30993","1345447","WEE CARE NURSERY"," ","11616 MAIN ST","","LOUISVILLE","KY","40243","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2447170","-85.5401210","2017-12-18 00:00:00","100","A","WEECARENURSERY",""
"30996","1278304","KIDDIE LAND DAY CARE CENTER"," ","1152 DIXIE HWY","","LOUISVILLE","KY","40210","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2378000","-85.7869000","2017-04-12 00:00:00","100","A","KIDDIELANDDAYCARECENTER",""
"30996","1330434","KIDDIE LAND DAY CARE CENTER"," ","1152 DIXIE HWY","","LOUISVILLE","KY","40210","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2378000","-85.7869000","2017-10-19 00:00:00","100","A","KIDDIELANDDAYCARECENTER",""
"31039","1312724","JOHNSON'S DAY CARE"," ","5533 BRUCE AVE","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1463000","-85.7822000","2017-08-10 00:00:00","100","A","JOHNSONSDAYCARE",""
"31039","1352998","JOHNSON'S DAY CARE"," ","5533 BRUCE AVE","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1463000","-85.7822000","2018-01-24 00:00:00","100","A","JOHNSONSDAYCARE",""
"31043","1273387","KINDER CARE LEARN CTR #424"," ","3804 KLONDIKE LN","","LOUISVILLE","KY","40218","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2080000","-85.6382000","2017-03-21 00:00:00","100","A","KINDERCARELEARNCTR",""
"31043","1333283","KINDER CARE LEARN CTR #424"," ","3804 KLONDIKE LN","","LOUISVILLE","KY","40218","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2080000","-85.6382000","2017-10-31 00:00:00","100","A","KINDERCARELEARNCTR",""
"31053","1302184","KINDER CARE"," ","8016 SHELBYVILLE RD","","LOUISVILLE","KY","40222","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2481000","-85.6049000","2017-07-05 00:00:00","98","A","KINDERCARE",""
"31053","1352989","KINDER CARE"," ","8016 SHELBYVILLE RD","","LOUISVILLE","KY","40222","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2481000","-85.6049000","2018-01-24 00:00:00","98","A","KINDERCARE",""
